       c_name       |                c_address                 |          nation           |     c_phone     | c_acctbal |                                                  c_comment                                                   | revenue_lost 
--------------------+------------------------------------------+---------------------------+-----------------+-----------+--------------------------------------------------------------------------------------------------------------+--------------
 Customer#000090994 | mbcZQRERKupszUDzRMayQwDEX8P2epkh5        | JORDAN                    | 23-191-141-7416 |   7964.20 | endencies affix furiously according t                                                                        |  730322.8364
 Customer#000146756 | WWH fjsDkKovu8jiTYZmxC3HMLIYEDnDT        | EGYPT                     | 14-321-449-8957 |    107.25 | xes believe blithely platelets. even, final accounts nag carefully against the                               |  703786.0197
 Customer#000036376 | wSVoQsr2bzDnLFCak94dBAaFWg               | EGYPT                     | 14-523-414-8389 |   8597.08 | blithely pending instructions haggle slyly final fox                                                         |  690104.3892
 Customer#000137710 | PgiBYM2Y5hDMvxNKzwvV3Y5vDiGvkYvZuahwrC   | RUSSIA                    | 32-925-523-8947 |    512.19 |  ironic, unusual packages are fluffily. quickly express accounts                                             |  654322.3938
 Customer#000084055 | sRYQ4pRu5T0ftDC1ndlMeBkCT5k              | MOROCCO                   | 25-505-122-1521 |   4318.55 | pecial foxes above the slyly even ideas are blithely along the slyly final packages. quickly ironic depo     |  641329.6081
 Customer#000125341 | S29ODD6bceU8QSuuEJznkNaK                 | GERMANY                   | 17-582-695-5962 |   4983.51 | arefully even depths. blithely even excuses sleep furiously. foxes use except the dependencies. ca           |  634427.6468
 Customer#000091972 | pHQJB6ypmme07bk                          | JAPAN                     | 22-975-188-8726 |   5606.88 | ong the furiously regular instructions are carefully quickly final packages. blithely iro                    |  626473.9908
 Customer#000138763 | uPDjizkE4zHPf,ovWhk9qmoLH4rxal v8fZ1     | ALGERIA                   | 10-841-461-4873 |   9858.75 |  detect. carefully bold ideas against the final ideas are blithely a                                         |  610154.3430
 Customer#000064298 | ,y0LFOyyvAI8vDYhp 8jkz                   | PERU                      | 27-265-117-6068 |   7003.85 | y final requests. ironic packages wake carefully. fi                                                         |  609078.1864
 Customer#000148126 | hevm3Xlpx6E9e6Ha55JlnJbTS46Ue3u4         | BRAZIL                    | 12-508-455-5443 |   6193.01 | o beans haggle blithely. even courts cajole slyly thinly ironic foxes. slyly regular requests boost quickly  |  601322.9515
 Customer#000148015 | Y4T GZ1q2xh1V1,5iwGdxPCFrhTc,lbya        | SAUDI ARABIA              | 30-919-347-1671 |    264.75 | ct furiously ironic, ironic asymptotes. special foxes about the                                              |  598849.0336
 Customer#000036985 | gWKSR2kLaF8EplJEfZ0Rd0WpU65Ll6nP75VT     | ARGENTINA                 | 11-601-462-5744 |   9233.98 | ve the sly, unusual packages. slyly ironic foxes sleep. final dependencies need                              |  598730.6070
 Customer#000053806 | 7b4rt2hZ JbYCrKJMLp,xyeo6Be6i4EywxH2lDDj | ETHIOPIA                  | 15-204-530-5443 |   1026.26 | ely final ideas. fluffily ironic ideas sleep slyly ironic theod                                              |  595638.9198
 Customer#000122599 | BNLnvWiOdp5MFpSq6ZIQL04fWvOwBL0K         | KENYA                     | 24-516-880-5086 |   9369.27 | sits sleep furiously ironic packages. carefully unusual ideas i                                              |  594108.8847
 Customer#000119503 | UGx2sFT9srBiXCZ2OP9GtC48xmMj             | CHINA                     | 28-562-176-7568 |   6581.07 | onic excuses. final theodolites wake blithely ironic requests. bli                                           |  593134.2513
 Customer#000120412 | TUCXXTqfjkbbnR8 4Q,WrZZ9SkiVTuhZ         | MOZAMBIQUE                | 26-942-947-6036 |   3816.86 | ously ironic packages. regular ac                                                                            |  586708.4167
 Customer#000041326 | e8scpD1KJhadg,7T6GTOi3q0DtSgU21we        | ARGENTINA                 | 11-827-403-2570 |   6150.39 | eas. furiously regular requests nag fluffily fluffily pending accounts. b                                    |  584253.2308
 Customer#000015127 | zQUuuAQrB5scfoLJE8ZHH41iMDwQnN8          | VIETNAM                   | 31-903-342-2961 |   7061.58 |  accounts are blithely final requests. carefully p                                                           |  577445.1836
 Customer#000061858 | ynwNnff2igX6G9L3mFnXpB3MElZjDhnq         | BRAZIL                    | 12-390-479-1121 |   -574.88 | ly final theodolites nag blithely blithely even foxes. accou                                                 |  571051.0927
 Customer#000134533 | L3Lyp3wAVP6                              | CANADA                    | 13-127-698-5142 |   3241.99 | egular foxes. furiously ironic theodolites wake along the blithely final asymptotes? slyl                    |  570965.5790
(20 rows)

