       c_name       |                c_address                 |          n_name           |     c_phone     | c_acctbal |                                                      c_comment                                                       | revenue_lost 
--------------------+------------------------------------------+---------------------------+-----------------+-----------+----------------------------------------------------------------------------------------------------------------------+--------------
 Customer#000036985 | gWKSR2kLaF8EplJEfZ0Rd0WpU65Ll6nP75VT     | ARGENTINA                 | 11-601-462-5744 |   9233.98 | ve the sly, unusual packages. slyly ironic foxes sleep. final dependencies need                                      |  598730.6070
 Customer#000118141 | g94yzneoJ6d1vrYFS                        | ROMANIA                   | 29-927-451-4957 |   -828.77 | sts integrate furiously along the regular packages. b                                                                |  481761.5820
 Customer#000148015 | Y4T GZ1q2xh1V1,5iwGdxPCFrhTc,lbya        | SAUDI ARABIA              | 30-919-347-1671 |    264.75 | ct furiously ironic, ironic asymptotes. special foxes about the                                                      |  479715.7876
 Customer#000137575 | qJTFa9Yum4                               | INDIA                     | 18-272-106-1742 |    404.47 | lites are blithely. thinly spe                                                                                       |  468142.1562
 Customer#000108697 | jzOMBRuUoxPPfvhZwNP KZHYy                | INDONESIA                 | 19-949-922-4926 |    380.55 | ress theodolites across the slyly regular courts haggle blithely blithely bold requests. requests are bl             |  462039.1511
 Customer#000052279 | Cd0q13UMIj,CV8ru2nr                      | CHINA                     | 28-311-590-6175 |   9245.86 | luffily pending excuses. pending foxes cajole c                                                                      |  448216.6784
 Customer#000137110 | Juq8RvFRxr5DdqnuykL pXBxdH               | UNITED STATES             | 34-739-655-3826 |   7513.20 | n packages. carefully final excuses solve blithely across the forges. furiously unusual deposits about the quickly i |  432852.6569
 Customer#000134140 | 67lIjvqR2A                               | MOZAMBIQUE                | 26-715-980-9421 |   1792.51 | ously ironic foxes along the ideas cajole furiously among the carefully regula                                       |  425444.1929
 Customer#000102961 | VEuIBa7cdMLPFCZ8z0vz5c                   | EGYPT                     | 14-838-740-3317 |   8494.54 | ng the furiously final pearls. carefully even                                                                        |  420285.6783
 Customer#000149842 | 7eHO8KrExZkdL                            | ETHIOPIA                  | 15-956-729-5722 |   9893.50 |  deposits. furiously unusual excuses lose furiously quickly final attainments; furiously spe                         |  417684.3881
 Customer#000030139 | DS7eb6YuPEa5YHllJjsgWCC,UEF ZMWkSeCRrkzL | VIETNAM                   | 31-806-139-5382 |   9343.22 | deas use carefully above the blithely ironic requests. carefully bold requests use fluffily against t                |  415621.7632
 Customer#000030040 | 6mqeshTuDc,e85rmOjQvr                    | CHINA                     | 28-406-436-7187 |   9647.39 | ickly pending packages are across the final, bold theodolites. blithely regular requests a                           |  415354.5193
 Customer#000029587 | CstVplP0b7e2H                            | ARGENTINA                 | 11-756-476-7073 |    689.42 | sts hang alongside of the bold, even requests. carefully special requests wake along the even, quic                  |  413417.4901
 Customer#000026104 | WCJThnoPr8J                              | UNITED KINGDOM            | 33-155-681-6319 |   8760.25 |  alongside of the pending, regular packages. furi                                                                    |  405361.9533
 Customer#000058954 | v9LZTwtamCD86lIMm0ZZLrqfd8N              | CANADA                    | 13-625-908-8416 |   8615.84 | ironic, express foxes. regular deposits believe blithely despite the accounts. blithely slow ideas aff               |  402498.7450
 Customer#000082741 | pvgssjlyJ0uG2VXE9zlJt6R1tDulB            | INDONESIA                 | 19-731-585-1949 |   8954.19 | lar accounts sleep quickly bold packages. quic                                                                       |  400678.3676
 Customer#000031172 | tSODMV, ckvZ88                           | BRAZIL                    | 12-280-586-5404 |   4130.41 | sts among the silent courts wake carefully special braids. requests haggle slyly express                             |  399294.4041
 Customer#000104182 | g48em3LiDnId4                            | MOROCCO                   | 25-877-425-5766 |   2508.57 |  requests. unusual realms are after the regular deposits. accounts are carefully quickly                             |  398599.9271
 Customer#000066719 | DSol4ZJQQcQN,M                           | SAUDI ARABIA              | 30-259-111-3377 |   3897.87 | ly regular accounts. carefully regular instructions are along the requests. blithe                                   |  392442.6708
 Customer#000103531 | 5sbyqcoUE5C,XqYvl 7M4u3nV t9gXghN PkEfdD | VIETNAM                   | 31-749-908-1422 |   3989.02 |  the even excuses. final excuses cajole quietly unusual id                                                           |  392419.9130
(20 rows)

