       c_name       |                c_address                 |          n_name           |     c_phone     | c_acctbal |                                                     c_comment                                                      | revenue_lost 
--------------------+------------------------------------------+---------------------------+-----------------+-----------+--------------------------------------------------------------------------------------------------------------------+--------------
 Customer#000088912 | rpRERiJdcD88PCvtF0Fgz4bk8                | VIETNAM                   | 31-976-118-4812 |   9938.63 | ve the ironic theodolites-- carefully special realms sleep blithely about the dogged packages. carefully ironi     |  355276.9092
 Customer#000004171 | sgmw3YHPPzod8X4uwJ                       | IRAQ                      | 21-348-202-1914 |   -680.11 | ding to the silent foxes. slyly final deposits nag blithely furiously regular foxes. furiously unusual dolphi      |  345891.4514
 Customer#000146770 | gh6O4j7qO6fpLeBiYM6IVnhEf9trhv           | BRAZIL                    | 12-714-358-2100 |   5456.25 | about the special depths. requests cajole at the slyly unusual theodolites. blithely even dug                      |  331927.5770
 Customer#000072856 | xRROqP7A9DMSA                            | CHINA                     | 28-860-501-3018 |   6548.83 |  haggle fluffily regular requests. slyly unusual deposits abou                                                     |  320333.0374
 Customer#000063455 | F,ooPMmPbMbX3ymlk                        | INDONESIA                 | 19-261-742-3271 |   -710.65 | telets boost blithely above the slyly blithe deposits! fluffily final theodolites sleep care                       |  317326.8375
 Customer#000124333 | AUD0Nz3BP5Z GQR03U6bc5,JZr               | BRAZIL                    | 12-653-815-4703 |   8204.65 | ess pinto beans wake carefully until the fluffy ideas. fluffily ironic ideas wake alongside of the quickly ironic  |  312191.6169
 Customer#000034357 | PcRBHV3uzdSciGtOQGThu5W0Ya3psYSMbRFP     | VIETNAM                   | 31-870-919-5136 |   8873.73 | tructions. furiously pending decoys sleep fluffily. slyly regular ideas wake blithely even, quick instructions. ca |  308473.7516
 Customer#000086659 | OgeEkQ pwl83lsK                          | JAPAN                     | 22-456-925-9026 |   3886.64 | ages among the quickly regular deposits sleep u                                                                    |  306601.4323
 Customer#000064837 | ,0L1ALAfDJDX1                            | INDONESIA                 | 19-315-375-1141 |   6816.22 | ously slyly regular theodolites.                                                                                   |  306409.4024
 Customer#000135856 | pqlBTL831roEIuLOYbAhzUdE                 | FRANCE                    | 16-135-147-3678 |   3853.67 | foxes affix slyly furiously pending theodolites. final requests haggle furiously blithely unusual platelets.       |  302442.4750
 Customer#000123625 | XJcIc2yRFMxqwmHPCiqasnhgZvRx0zrbFUvj     | SAUDI ARABIA              | 30-391-897-5876 |   2989.21 | ges doubt boldly across the pinto beans. slyly pending packages about the                                          |  301752.7851
 Customer#000046138 | cHZwfzs2KtKxjGGEgYkUjM                   | CANADA                    | 13-484-339-5082 |   -876.28 | are slyly regular deposits. even deposits ar                                                                       |  296017.3695
 Customer#000126253 | AEGz,ENOrOejSYbvj                        | FRANCE                    | 16-546-388-5999 |   5191.07 | es? blithely pending accounts was carefully. furiously unusual accounts wake. regular, sil                         |  294987.9754
 Customer#000148891 | fu9gaT6xCmf7jCzCRdcAu1Y9Ge,9T29T         | ARGENTINA                 | 11-631-965-2414 |   3500.85 | symptotes are fluffily upon the slyly special accounts. bold, regular pinto beans affix along                      |  293513.4326
 Customer#000130903 | RL,,oV N1exhR8T,wM rGQb7mZlTQTOVevdt,L65 | MOZAMBIQUE                | 26-515-522-4752 |   9849.91 | s cajole carefully. ironically final packages cajole blithe                                                        |  292918.8696
 Customer#000082021 | 5tx1lALnT2a7kCxMkyirg1TOwud              | ETHIOPIA                  | 15-990-840-3554 |    159.01 | oss the bold, regular deposits use slyly about the regular pinto beans. slyly final packages after                 |  292430.4652
 Customer#000019477 | Valdd9txNCQPFK4sdjn2kNE                  | UNITED KINGDOM            | 33-608-166-5114 |   2313.54 | le furiously. blithely express accounts was blithely ironic reques                                                 |  291288.1896
 Customer#000014140 | E4DsifanvrXqYV8 hGnO2GgAeR               | SAUDI ARABIA              | 30-352-921-5634 |   1745.78 | gle deposits. blithely ironic theodolites integr                                                                   |  289952.1851
 Customer#000014533 | JOSfE43H87unkCVfXulGLsrLmEHpT7Sfo Hn9F   | GERMANY                   | 17-619-729-6061 |   2920.22 | sual ideas according to the regular dependencie                                                                    |  288287.9285
 Customer#000139579 | wdbYmjV4br28DRUkQizTC4                   | INDONESIA                 | 19-686-967-5318 |   9716.18 | pending foxes need to are furiously bold, th                                                                       |  286134.7302
(20 rows)

